NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    332m         2%     5586Mi          8%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   153m         0%     4099Mi          6%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    151m         0%     4114Mi          6%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   147m         0%     4119Mi          6%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   143m         0%     4179Mi          6%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   138m         0%     4085Mi          6%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    138m         0%     4057Mi          6%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   133m         0%     4118Mi          6%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   131m         0%     4182Mi          6%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   130m         0%     4104Mi          6%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   130m         0%     4021Mi          6%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   129m         0%     4084Mi          6%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   129m         0%     4070Mi          6%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   127m         0%     4096Mi          6%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   127m         0%     4038Mi          6%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   127m         0%     4116Mi          6%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   126m         0%     4066Mi          6%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   126m         0%     4047Mi          6%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    124m         0%     4123Mi          6%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   123m         0%     4153Mi          6%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    120m         0%     4072Mi          6%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    118m         0%     4175Mi          6%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   117m         0%     4070Mi          6%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   117m         0%     4194Mi          6%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   112m         0%     4080Mi          6%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   108m         0%     4674Mi          7%        
node47.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   105m         0%     4666Mi          7%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   102m         0%     4739Mi          7%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   102m         0%     4777Mi          7%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   101m         0%     4674Mi          7%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    99m          0%     4711Mi          7%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   93m          0%     4796Mi          7%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   92m          0%     4743Mi          7%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   92m          0%     4663Mi          7%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     4597Mi          7%        
node42.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   91m          0%     4660Mi          7%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   89m          0%     4842Mi          7%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   89m          0%     4656Mi          7%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   87m          0%     4650Mi          7%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   86m          0%     4659Mi          7%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   86m          0%     4657Mi          7%        
node41.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   85m          0%     4705Mi          7%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   85m          0%     4711Mi          7%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    85m          0%     4746Mi          7%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   84m          0%     4651Mi          7%        
node48.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     4665Mi          7%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     4647Mi          7%        
node44.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   83m          0%     4776Mi          7%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    78m          0%     4733Mi          7%        
node25.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   62m          0%     4720Mi          7%        
node46.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   61m          0%     4762Mi          7%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    51m          0%     2362Mi          3%        
