NAME                                                        CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%   
node0.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    393m         2%     4751Mi          7%        
node51.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   93m          0%     3960Mi          6%        
node17.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   77m          0%     3325Mi          5%        
node49.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   76m          0%     3366Mi          5%        
node4.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    69m          0%     3301Mi          5%        
node33.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   69m          0%     3288Mi          5%        
node43.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   68m          0%     3383Mi          5%        
node14.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   67m          0%     3291Mi          5%        
node31.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   66m          0%     3278Mi          5%        
node20.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   66m          0%     3291Mi          5%        
node7.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    65m          0%     3351Mi          5%        
node36.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   65m          0%     3267Mi          5%        
node10.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   63m          0%     3315Mi          5%        
node23.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   63m          0%     3342Mi          5%        
node3.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    62m          0%     3290Mi          5%        
node28.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   62m          0%     4068Mi          6%        
node34.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     3258Mi          5%        
node45.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   59m          0%     3388Mi          5%        
node21.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   58m          0%     3831Mi          5%        
node26.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   57m          0%     3299Mi          5%        
node5.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    56m          0%     3303Mi          5%        
node38.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   56m          0%     3311Mi          5%        
node27.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   55m          0%     3947Mi          6%        
node40.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   54m          0%     3365Mi          5%        
node2.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    54m          0%     3296Mi          5%        
node18.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   52m          0%     3889Mi          6%        
node16.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   51m          0%     3291Mi          5%        
node22.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   49m          0%     3335Mi          5%        
node6.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    49m          0%     3950Mi          6%        
node8.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    48m          0%     3891Mi          6%        
node29.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   48m          0%     3895Mi          6%        
node37.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   48m          0%     3286Mi          5%        
node39.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   48m          0%     3877Mi          6%        
node1.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    47m          0%     2383Mi          3%        
node15.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   47m          0%     3985Mi          6%        
node32.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   46m          0%     4013Mi          6%        
node19.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   46m          0%     3896Mi          6%        
node35.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   46m          0%     3406Mi          5%        
node30.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   45m          0%     3877Mi          6%        
node11.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   44m          0%     3883Mi          6%        
node50.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   42m          0%     3880Mi          6%        
node9.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us    42m          0%     3952Mi          6%        
node24.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   41m          0%     3893Mi          6%        
node12.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   40m          0%     3876Mi          6%        
node13.sv440-201251.decentralizedsch-pg0.utah.cloudlab.us   39m          0%     3892Mi          6%        
